genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Aphelidium,algal_parasite,,
Paraphelidium,algal_parasite,,
Pseudaphelidium,algal_parasite,,
Amoeboaphelidium,algal_parasite,,
Pycnocarpon,epiphyte,,
Neobueliella,lichen_parasite,,
Neocochlearomyces,plant_pathogen,,
Anthodidymella,wood_saprotroph,,
Aquimassariosphaeria,wood_saprotroph,,
Neolindgomyces,litter_saprotroph,,
Crassiperidium,wood_saprotroph,,
Aquihelicascus,wood_saprotroph,,
Paratrimmatostroma,litter_saprotroph,,
Arezzomyces,wood_saprotroph,,
Dlhawksworthia,wood_saprotroph,,
Hydeomyces,wood_saprotroph,,
Piniphoma,wood_saprotroph,,
Pleohelicoon,litter_saprotroph,,
Typhicola,litter_saprotroph,,
Rubroshiraia,plant_pathogen,,
Anthosulcatispora,wood_saprotroph,,
Liua,wood_saprotroph,,
Discotubeufia,litter_saprotroph,,
Acantharia,litter_saprotroph,,
Clavidisculum,litter_saprotroph,,
Heterotruncatella,plant_pathogen,,
Neoleptosporella,wood_saprotroph,,
Furfurella,wood_saprotroph,,
Capillaureum,plant_pathogen,,
Chrysomorbus,plant_pathogen,,
Eriocamporesia,plant_pathogen,,
Neomelanconiella,plant_pathogen,,
Neomyrmecridium,litter_saprotroph,,
Xenodactylaria,litter_saprotroph,,
Pseudodiplococcium,litter_saprotroph,,
Staurospora,lichenized,,
Galbinothrix,lichenized,,
Amylogalla,lichen_parasite,,
Craspedodidymella,wood_saprotroph,,
Crousobrauniella,plant_pathogen,,
Hyalodermella,,,
Saania,lichen_parasite,,
Vizellopsidites,plant_pathogen,,
Asterostomella,plant_pathogen,,
Mycosphaerellopsis,litter_saprotroph,,
Planistroma,litter_saprotroph,,
Aeminium,sooty_mold,,
Globoramichloridium,,,
Paradevriesia,,,
Ceratosperma,,,
Plurivorosphaerella,plant_pathogen,,
Nowamyces,plant_pathogen,,
Lawreya,lichen_parasite,,
Xenodevriesia,plant_pathogen,,
Neocelosporium,,,
Pseudoconlarium,wood_saprotroph,,
Neoparodia,plant_pathogen,,
Araneomyces,litter_saprotroph,,
Lichenopeltella,lichen_parasite,,
Pachythyrium,mycoparasite,,
Trichothyrium,unspecified_saprotroph,,
Eremithallus,lichenized,,
Neojahnula,wood_saprotroph,,
Pseudojahnula,wood_saprotroph,,
Neomycoleptodiscus,litter_saprotroph,,
Pseudopalawania,litter_saprotroph,,
Setoapiospora,wood_saprotroph,,
Posidoniomyces,root_endophyte,,
Alfoldia,root_endophyte,,
Amorocoelophoma,litter_saprotroph,,
Purplema,,,
Quercicola,litter_saprotroph,,
Xenoastrosphaeriella,unspecified_saprotroph,,
Corylicola,wood_saprotroph,,
Leucaenicola,litter_saprotroph,,
Corynesporasca,litter_saprotroph,,
Synfenestella,plant_pathogen,,
Pseudoconiothyrium,,,
Sphaeronaema,,,
Vandijckomycella,soil_saprotroph,,
Chromolaenicola,wood_saprotroph,,
Neptunomyces,,,
Pseudodidymocyrtis,lichen_parasite,,
Triseptata,wood_saprotroph,,
Pseudomurilentithecium,litter_saprotroph,,
Ochraceocephala,plant_pathogen,,
Pseudoleptosphaeria,plant_pathogen,,
Sclerenchymomyces,wood_saprotroph,,
Ligninsphaeriopsis,,,
Submerspora,wood_saprotroph,,
Kiskunsagia,root_endophyte,,
Paramassaria,wood_saprotroph,,
Neohelicascus,wood_saprotroph,,
Neomedicopsis,wood_saprotroph,,
Pseudohelminthosporium,wood_saprotroph,,
Brunneofusispora,wood_saprotroph,,
Lonicericola,wood_saprotroph,,
Paramonodictys,wood_saprotroph,,
Paralophiostoma,,,
Pleopunctum,wood_saprotroph,,
Amarenomyces,unspecified_saprotroph,,
Bhagirathimyces,unspecified_saprotroph,,
Brunneomurispora,wood_saprotroph,,
Hydeopsis,wood_saprotroph,,
Jeremyomyces,wood_saprotroph,,
Kwanghwana,plant_pathogen,,
Murichromolaenicola,wood_saprotroph,,
Neoophiobolus,wood_saprotroph,,
Neostagonosporella,wood_saprotroph,,
Paraleptospora,wood_saprotroph,,
Paraloratospora,wood_saprotroph,,
Phaeoseptoriella,plant_pathogen,,
Pseudoophiosphaerella,wood_saprotroph,,
Pseudostaurosphaeria,wood_saprotroph,,
Wingfieldomyces,litter_saprotroph,,
Vittaliana,wood_saprotroph,,
Pseudoastrosphaeriellopsis,wood_saprotroph,,
Pseudomassarina,plant_pathogen,,
Xenopyrenochaetopsis,litter_saprotroph,,
Pseudoroussoella,wood_saprotroph,,
Setoarthopyrenia,wood_saprotroph,,
Xenoroussoella,wood_saprotroph,,
Longicorpus,unspecified_saprotroph,,
Striatiguttula,unspecified_saprotroph,,
Parasulcatispora,wood_saprotroph,,
