OTU_ID	Can2	DY2	CC4	Can6	DP3	DY4	DY5	DP2	DY7	DP5	CC10	DY6	CC7	Can3	DY3	DP6	DP1	Can4	CC9	Bal4	Can1	CC1	DP4	DY1	CC8	Can5	Bal11	CC2	CC11	Bal3	Bal9	Bal2	DP7	Bal8	Bal10	Bal1	Bal5	Bal6	Bal7	CC3
de2420e8c78f6f5bf30665f9f47e6416c6d7bce9	675	1	0	0	0	2	39	0	1	0	166879	5	3093	0	0	0	0	0	34	94	0	1	0	5913	75058	0	3	1	0	10	1	10	0	2150	1	324926	46821	77005	2	1
ea6e104ce2ab3a3b3a1b77da9ec8a05b839b4dd2	0	0	0	0	0	0	0	0	0	15	0	1	164063	0	23861	0	0	0	0	155	0	1	0	0	1	0	26	167152	16	52560	7	116268	0	112144	12	54	7	128	32759	1
0f8193ee9ea03dcf1edd1886989c334f8f9799d2	7	69506	0	2	657	14	161	84	0	0	37	6	1	14	5593	27667	0	0	0	890	32885	89698	316	20	0	0	171857	4847	0	121728	472	34430	1079	34941	1	0	1	30	6	1
328dbc9b565a8a6bbe004b4f459b76cb91f7bdf2	0	0	0	0	0	20970	10304	0	0	0	0	11	2	0	0	64593	0	0	1	0	0	0	4	105	0	0	3	1	0	0	2	0	0	13	2	0	0	0	275169	0
f0d548bc838e8b4680497b0971b74ff2ea863b12	0	0	8	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	7	0	5	0	0	2	0	0	19760	0	0	0	0	0	4	0	1	0	0	0	154549
60d315540a4fa7e60f8988fc8969b3c563191a4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	20	25	0	0	0	0	2	167066	3	14	0
f65823b241ba12644ed9911b01673c8b9121e9f1	0	0	0	0	17153	0	0	238	0	0	0	0	0	0	0	56245	0	0	0	0	1	0	83276	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
d19ad10d0496841fe1c5fed0222c6bd3f11459e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	38495	0	0	0	0	0	0	0	0	0	1	0	0	0	116526	2	0	0	0	0	0	0
4ae9f19330576f0406379a9a91416e267c25cdbf	0	0	0	0	0	2634	98619	0	6	0	0	32160	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
12f9f95f0507ce2db73a43eb5f8b280fc6e98a3c	0	0	0	0	0	7114	29231	0	0	1	0	91452	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8437968b29f33c325602416a7eb94bdee58f9e98	5	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	24	10	0	0	0	2	27	0	0	19	2	1	1	117	0	4	9	0	17	116098	10	1
eaa8b0ef9b78256951efe85b2c687840d84d893b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	1	0	0	42	115741	0	0	0	0	1
2beaf73b4f399a4fa434b9c83f2d55f638986b20	39015	0	0	0	0	0	0	293	0	230	0	0	18	0	0	0	0	0	0	0	0	15386	14284	0	0	0	0	0	0	0	24547	0	10714	0	0	0	6	3	0	0
eb9361a448e004cf6f4a2dd0be07ef58b05a6284	0	0	7	0	0	1	3	0	10	12	47	14	0	0	0	0	0	0	0	16	0	22708	0	0	423	0	41646	16	11170	7600	0	0	0	5958	4	0	0	0	9893	4
9bf3eef814c46191b0727b0ea66401ec956b5cd8	0	1	0	0	38	0	0	0	0	19	0	0	0	0	0	29	0	0	0	0	0	0	12206	0	0	0	0	0	0	0	0	0	82837	0	0	0	0	0	0	0
1fdd176d3d296f99a4b71caabd8b20e7c5ed8175	0	0	93028	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	49	0	9	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0
10c6ee0ab382cdfc2b47600c704a0599f1920784	76	170	409	29	130	241	33	18	306	6	1103	435	11130	34	44	14	90	4	33460	5213	6	42	588	1036	8247	2	657	715	256	772	871	216	24	161	2022	12295	1024	7587	269	3322
36e4d25f816c74e1b643520746151e678f9eb383	15	86	9	0	12	446	53	0	82022	0	9	1010	126	4	18	4	13	0	46	577	2	0	4	83	126	0	134	40	37	354	517	92	6	24	180	83	2541	2165	20	6
a3158e652ba987292c6f0b3fe630856281b691a5	13039	0	0	139	0	0	0	0	0	0	0	0	1	57698	0	0	0	3007	0	0	10961	0	0	0	0	2175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
039dca03dca2b56b8640449d24d44550074898ee	0	0	84684	0	0	145	2	0	5	0	0	21	0	0	0	0	0	0	0	0	0	5	0	80	3	0	0	0	0	0	0	0	0	1	0	9	0	0	1	0
bb25016a2c8f360a00a7ffe03a279a3b1b654cb5	0	10	0	0	0	109	8	0	82345	0	0	199	23	0	0	0	0	0	0	8	2	0	0	6	0	0	189	3	4	130	2	20	0	20	23	20	115	68	6	0
f8c6acc920c8e02564b55df32f63dcbdac70fd35	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	20	0	0	4	0	0	0	0	83196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85415fa174afc78e36fef6290c53503a6a3051b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	0	0	0	0	75510	0	0	0	2	0
63d3e217d7836cc4991b90508f2721aee0b5c03e	361	355	70	222	1	170	57	758	2	21	207	50	12	49	106	56	2188	2	7	4194	3	9	134	7398	8	109	26	2	61	915	37109	633	25	453	4581	140	282	11248	1552	816
ee53f4de9432c299652eb2d587f7ed8d11e8d9ee	1	25	0	28	0	0	0	0	0	0	9498	0	60932	0	0	0	0	11	0	37	2	0	0	0	0	20	40	0	0	0	0	2	0	0	0	5	0	0	0	75
e44e7d945392a45aa8b6c176af6365bb26408e64	0	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68729	0	0	0	0	0	0	0	0	0	0	0
1b089f4f419b450023c3878e153e7de1a9b8c934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66971	0	0	0	0	0	0	0	1	0	0	0	0	0	33	0	0	0	1193	1	0
107568d250340d5e452c9fa7ab825f1baff8d991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62118	0	0	0	0	0	0	5961	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1ff7875734f103f6ad708d069bb4eeea858ab8e4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	210	0	0	0	0	0	0	0	0	0	0	62340	0	0	0	0	0	0	0	0	0	0	0
326ba8ab67ee44cc8ff9befcff2c8ac9b6e431e5	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c78c3c2cd478f416f7ccaa96fdfa1fac5d59a54d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54405	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
585d263c906f6f48c0e2d6d4f0a6596d0e280176	0	0	0	0	6	99	16	0	16	0	12	110	11	0	10	0	0	0	1	0	0	0	53232	572	8	0	0	20	0	52	1	2	0	8	15	0	3	3	16	2
c2165605a7e1fdde76a48ba7770c2fa18c87877f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53516	0	0	0	6	1	0	0	0	0
e720af6cb46b52d5ff96866443f2440e1816960a	0	0	0	0	15395	0	0	8550	0	29023	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0abeb0622c9f06193299e0c41e2177803c70e6a5	280	14	74	10961	7129	47	14	1001	0	28256	1	36	0	388	20	1450	1	19	0	0	11	0	724	0	0	183	0	0	0	2047	0	2	303	0	0	0	0	0	0	0
3c34c2ba24dee0a357597aeedd6ff7bef48c6847	0	0	0	0	0	0	0	0	0	0	0	0	0	48366	0	0	0	0	0	0	4143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e222e8e8675b3df89ae8642300a4552053200c62	0	0	0	0	0	0	0	0	0	0	0	0	0	44994	0	0	1	208	0	0	0	0	0	0	0	7003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e2e0473c2b318e73339fb75effceb5ea0e320e54	0	0	0	9	0	0	0	0	0	3	0	0	0	99	0	0	1	2	0	0	0	0	0	0	0	47957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51bbbff2020dd95b675b96b29281f5e71ed3b62b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	47782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aedeccb9b23286de14d729590a09e7d318519a64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47131	0	0	0	0	0	0	0	0	0	0	0
17b02baf4a11dd2dddf91e7801a2270f02fb6c5c	10	0	0	14000	51	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	32021	0	1	25	0	3	71	0	2	0	0	0	0	0	6
9d332cb344fcb6fac2dd3188f380d371f0b19ee9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	46637
f77e63572532fa596e83efd90cee9b9c1d4912ca	0	0	0	0	0	33647	0	0	91	0	0	2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10099	44	0	0	0	0	0
1e3216570f7308ec621cecd19a7c63e7bcbd6564	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46192	0	0	0	2	0	0	0	0
7fac048c0775e1afab70ae254206608d4ef760f9	0	0	0	0	0	46033	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609d645edba1eed96a729b3e966f70c20d5b2f19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44218	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0cd8deaa44334d7ff3c1fe0bb092e8a136c02148	16759	8175	984	0	2246	1322	62	489	0	2783	0	1	0	0	34	116	0	0	0	0	336	0	0	459	0	2418	3	4	0	1059	0	5	1235	0	0	4	0	0	5346	0
dfb0b746f211f5b82af06d53925cc63259180eba	4647	0	0	1	20	373	34169	68	2	4	0	4	69	4	3	3	0	2	0	62	353	0	144	1	0	0	0	0	0	2358	1	1181	0	0	0	1	0	0	39	0
4438b9df922a57b164e8c5e04d1024704f1de8e3	1417	979	334	582	250	1485	241	43	476	270	2294	1045	907	437	157	32	119	108	343	1929	306	63	1065	2029	985	115	742	7310	293	7186	511	1691	81	520	531	817	2803	1559	185	285
b43fb6d645e3b0396242f88d622e4b7b43c464dd	0	0	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40003	0	1	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	11
2a4528f09328391c3cc3ed16743ee531d7abf52b	0	0	39545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	1058
477d9b4df8658eaa80057a2850651b08a0d09a49	0	131	0	0	0	29	417	0	74	0	0	847	0	0	1	0	0	0	0	0	0	32484	0	1572	0	5	0	563	0	0	3120	0	0	817	0	1	0	0	1	7
359acbb42b9e1b1489fec8db2a9cf08aeb54f770	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	39270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f78c2818258106555f3571f94544b0583bcbce2	176	36	3	122	6	2018	30	32	34	42	34	625	590	119	18	20	13	300	37	60	163	12	28177	93	29	68	493	17	179	998	3001	109	4	177	95	791	292	44	32	42
3d57d022cd5f69dae96ff6a918c59f8dc156173a	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	37761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d148609813828fa5d855106e6b355a33080886e3	0	80	0	0	142	54	0	5646	0	7	0	5	0	0	31771	0	0	0	0	0	3	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d86f5006d790056b70dd0c3fac43938d76b88a9c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36904	0	0	0	0
2d1583b4bb343f61b6a22f047368c733909754c7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36835	0	0	0	0	0	0	0	0	0	0	0	0	0	34	5	0
e66646ce67ae16fca91ece4c148bbaea538b3c99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15494	0	0	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	14919	3366	0	0
578fa4be6c074829a017d3950bcb917ec0887e49	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	35062	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cace8345552b65886bbd73d60cd6bca691308ddc	10	0	0	0	0	352	1	33982	0	10	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca401bd95ef770c5988e33e631f2ecfd2d2c2679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33288	0	0	0
4d9c01f7467a9cb2594c8d44e1ffc0ecf5db3c24	219	405	29	360	0	4343	592	0	75	22	597	1337	5734	0	13	12	0	0	715	170	125	91	37	853	1501	327	1210	73	2725	310	4253	587	0	3279	347	722	471	1256	230	7
5876b9216c48f71196b25d4d73cffae223bffd53	624	0	0	84	9	0	0	11692	0	8	0	7	0	192	0	0	263	72	0	51	87	0	165	0	0	19650	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25ab63d1e0309e820735a1f22e869fe51fd711f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a968e85fd282cbfbabfc4eadd6f060da631ac0f4	349	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	344	29148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74005d8395648f9ace6c243e29632571b423fd7e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26895	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
562e3dd68b89cde30bae2e78211cde2454ea6170	0	24348	0	0	0	1520	258	0	0	35	0	13	0	0	16	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3fb40dfd95262d976ecb180e7b7f3cf8c1099dda	0	0	0	24244	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b70dbcf3e3c32a5524fe9c752a770579e17a42a3	5295	0	33	1	0	0	1	0	3	0	1	0	7	5336	0	0	0	4543	0	229	0	0	0	0	0	5	0	0	0	0	0	47	0	824	0	0	0	0	0	8885
4a1cfadee9d3032368081a28a56571a0b95a9003	0	2327	0	62	5484	847	39	0	0	1056	0	35	0	0	572	7138	36	13	0	0	0	0	0	2985	0	33	0	0	0	0	0	0	2851	0	0	0	0	0	1484	0
7376580a40d847d164d970b840f3fe4f6cb6661e	17880	5	0	15	12	0	0	9	0	0	0	0	0	6696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1
711314489ed3b59b00428ff1c91ffa02bc82e99f	0	0	0	0	0	1	0	24046	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac8455cf1ff5d3bda914a3698f8d170edaad1db2	0	0	2	31	8377	0	0	1	0	14853	0	0	0	0	105	1	458	24	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2420716f4cc0774253dfdb96efceec8524061a1a	0	8	0	0	4090	0	0	359	0	4	0	0	0	0	0	9445	0	0	0	0	1	0	9863	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
50bee8615a2c7f37b2f41dbf5e4a9632887970c2	22397	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	2	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bdcf41cb4cf7d9547301b8f627ea1b66b5cb9016	397	199	51	0	8	3	0	0	0	1788	1	0	1322	5083	2	8	0	1567	0	0	351	5	0	49	0	11142	0	0	15	10	0	0	0	0	0	249	0	0	0	0
f0ae28edcd49b27223050f64532cd617c7c06012	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20419	0	0	0	0	0	0	0	0	0	1434	0	0	0	0	0	0	1	0	0	0	0
9189042848f8511a795d656e132d15708a0b768f	21557	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
eb84976162f2a88e60b002bffee30d69bd5b361b	14	29	0	0	16	690	77	0	85	0	0	423	1	0	0	1631	0	0	0	7	76	6	12201	290	0	0	42	33	3	97	0	6	4683	18	23	14	26	65	10	5
24a7564f31f323572ab2f99d2a34c1a88c3e7c03	0	0	0	0	0	16	333	0	0	19873	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95ea39475ce675bf432574a95ecea491770c3024	0	0	0	0	0	0	0	0	0	0	0	0	15001	0	7	0	0	0	0	92	0	0	0	0	0	0	0	42	0	17	0	45	0	4807	0	0	0	0	17	0
8f411e3fb01f50e47ea3ef232a867677bebb19fc	4763	26	0	187	95	0	0	1813	0	0	30	0	0	192	18	31	64	140	0	0	6	0	466	578	0	3115	465	0	0	14	0	529	5711	0	41	0	0	0	869	542
7098901752b272ce22a6da7b9a998e2cee3b8dae	1	26	0	0	9	1358	243	0	699	35	0	1652	2	0	4	5	0	14	0	0	105	14	1194	13884	0	0	25	75	0	0	0	0	0	6	2	0	9	0	2	0
a931ad13e23838c4ba650e9396352c4df649850f	0	0	0	0	0	1	1	0	15	0	0	2	0	0	0	0	0	0	0	19238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fd15d13bcccf1423c8bf426d33062368a3d4f0ae	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19099	0	0	0	0	0	20	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
dbc66074fa9cb66dd4864118c5eb3001297bc4f6	0	8532	0	0	0	171	104	159	0	0	0	29	0	495	0	0	0	0	0	0	103	0	1	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9213	0
8b1da08ff23c0a7f3deec7e6d14329491a572924	11	0	0	0	0	17	155	0	0	0	0	0	0	0	0	0	0	0	0	2071	13871	259	232	0	0	0	1247	0	0	1	0	459	0	42	4	0	0	0	0	0
481ebe9f02e04f1c2b81394ebd4bcfb8e0e3aa91	22	1	553	0	0	73	3	0	1	0	2255	32	164	0	0	0	0	0	98	116	0	27	0	37	1	0	11	404	15	238	271	6195	0	128	17	397	113	149	31	6662
170efc2dc709c355cf9161875a1a2f5ba29fdca4	6961	0	0	889	323	0	0	500	0	2068	0	0	0	1214	5	310	1463	0	0	0	1	0	973	2405	0	68	0	0	0	0	0	0	510	0	0	0	0	0	0	0
7e4cc33f5a7dcff0499f0b7caee4acfbe1490c9b	0	1253	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	96	0	0	0	251	0	0	0	0	0	210	0	15027	0	425	0	0	190	2	0	0
d8f671cf875e74ff3a2e4197ef0d1a803e3c3f51	0	620	0	0	0	25	43	0	9	0	0	779	115	0	376	0	0	0	14682	17	0	24	0	78	0	0	116	0	12	32	229	4	0	18	99	81	5	0	58	0
9844723ca061be48e02020123ffb9cb667ea4218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16598	0	0	38	0	0	0
7a02b227978f5565fce4b9bf9eb985c3ed24211b	0	0	0	3875	23	0	0	0	0	0	0	0	0	12567	0	0	60	84	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3c98edd91d626ed1fcc443802b28e387641ce6fd	0	0	0	0	1222	1	0	0	0	15272	0	0	0	59	0	4	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
abdcafc637a340ea76c4b870d178f7594805163e	7300	1060	3630	0	1760	0	0	1320	10	20	0	170	0	0	140	340	330	0	30	0	0	0	50	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69d4347be4c13e5b14a965c64b2c44f212e88aaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	139	0	6	0	47	15076	0	2	9	0	0	0	0	111
3792a775e81e69b81ac02eabf1c84d0d5e74fd2a	0	0	0	0	0	15	15328	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7c76dd5484c78897a18a6faf0b9fbd2fcc156da	0	0	0	0	15300	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61878af2be5486c8be285653190772ffb2638807	0	0	0	4112	5180	0	0	0	0	5994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
6e9634db83a636f7ef93ba8e931d79b969457989	0	0	0	14785	0	0	0	0	0	64	0	0	0	0	0	0	0	5	0	0	182	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5988017a198c2cf03d9a21e45c6e81a42f6a760d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15046	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcf6642261e836a14d1e996e9d19f5b5d5d633f9	4310	422	22	1964	67	1471	274	0	11	86	53	1139	121	1363	16	21	9	412	133	27	615	3	95	307	14	197	190	3	48	229	27	10	0	23	219	484	5	96	33	114
f61e7e80b975b924dec6963f3bb505c74bec83b9	0	0	93	0	0	1608	720	0	0	0	60	42	0	8	0	0	0	2428	2	160	2	9	22	67	643	21	3	90	516	273	0	6867	0	745	3	12	43	0	0	74
23f75fea626599147ab46b58d39afec5a455f9f2	40	21	0	3440	3738	649	492	147	0	5197	1	136	0	178	5	1	0	0	0	0	46	0	0	50	0	91	0	0	0	0	0	0	195	0	0	0	0	0	0	0
97d5b0c6e601e67a94304a9a3ec9239cf9db03aa	0	273	0	0	0	4347	480	0	214	0	2	2771	0	0	17	6	0	0	0	0	0	0	1	6174	0	0	4	0	4	0	0	0	0	10	0	1	3	0	0	1
891ef8c0d9f313b81d9974e979fe6d97d2e96ea0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12843	0	0	0	0	0	431	0	0	0	916	0	0	0	0	0	0	0	0	0	0	0
c7daa587ed11b1a453c9b5363916eaa149b45226	0	0	0	0	0	0	0	0	0	0	0	0	13837	0	0	0	0	0	0	0	0	0	0	0	59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d8732bd07c1616a3a0323517a184998be40f0887	0	0	0	0	0	0	0	0	0	11644	0	0	0	0	0	30	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1987	0	0	0	0	0	0	0
3750ccd3d7b5ecc4129bd0559911bb4d79192fe6	16	159	4	24	0	3515	422	0	304	0	3	6737	89	0	1	0	0	0	1802	2	14	0	0	272	27	21	5	0	84	0	4	3	5	0	0	2	2	0	0	34
7a3f476a3db6c42374745d40ed5e634cc171102b	0	0	0	13494	23	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
daf41f716c53029c4ad08ff31bcee590094bb03d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13431	0	69	0	0	0
2f8dc08e23f552035c6d14b960438fec27f18ee6	757	207	89	349	163	614	82	47	81	157	172	383	204	438	68	40	78	149	306	443	178	44	68	241	13	47	49	3235	49	3305	6	304	130	48	8	341	116	122	30	103
424b81fcaace8e65a00664050f6020baeac0cfb8	0	0	0	0	0	5	5	0	14	0	0	369	0	0	12486	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dcfa37b7a99eb6b7ff4c2514daa52ca9662521a3	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	12062	0	0
5362111c6a9494f6970126905b1c336f40234cef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11216	0	0	0	0	0	0	0	0	0	19	0	0	0	1239	42	0	0	0	0	0
