sample,ecotype,site,col_AM,col_ECM,weight,latitude,longitude,MAP,MAT,soil_moisture,pH,C_total,N_total,ammonium,nitrate,P_available
Bal1,Upland,Ballandean,6,9,100,-28.78601,151.81931,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal10,Upland,Ballandean,46,24,100,-28.78604,151.81953,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal11,Upland,Ballandean,18,63,100,-28.78565,151.81978,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal2,Upland,Ballandean,9,26,100,-28.78603,151.81915,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal3,Upland,Ballandean,19,29,100,-28.78617,151.81912,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal4,Upland,Ballandean,23,42,100,-28.78625,151.81894,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal5,Upland,Ballandean,13,50,100,-28.7861,151.819,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal6,Upland,Ballandean,56,26,100,-28.78605,151.8192,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal7,Upland,Ballandean,7,55,100,-28.78567,151.82024,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal8,Upland,Ballandean,5,39,100,-28.78603,151.82007,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Bal9,Upland,Ballandean,7,18,100,-28.78601,151.81964,789,15.66,16.8,6.77,0.82,0.07,8.4,3.5,33
Can1,Coastal,Candole,66,2,100,-29.70216,153.23203,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
Can2,Coastal,Candole,71,6,100,-29.70219,153.23218,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
Can3,Coastal,Candole,31,0,100,-29.70211,153.23141,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
Can4,Coastal,Candole,9,4,100,-29.70183,153.23128,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
Can5,Coastal,Candole,7,2,100,-29.70566,153.23006,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
Can6,Coastal,Candole,75,0,100,-29.70571,153.22981,1345,19.08,38.4,5.23,3.66,0.16,48.9,4.1,9
CC1,Upland,Cannon Creek,36,25,100,-28.58019,151.85486,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC10,Upland,Cannon Creek,34,42,100,-28.58011,151.85201,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC11,Upland,Cannon Creek,32,54,100,-28.57987,151.85194,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC2,Upland,Cannon Creek,40,32,100,-28.5802,151.85519,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC3,Upland,Cannon Creek,33,25,100,-28.57976,151.85361,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC4,Upland,Cannon Creek,56,57,100,-28.57978,151.85356,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC7,Upland,Cannon Creek,9,67,100,-28.58048,151.85223,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC8,Upland,Cannon Creek,60,26,100,-28.58024,151.85205,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
CC9,Upland,Cannon Creek,61,32,100,-28.58012,151.85196,793,14.98,23.8,5.48,7.79,0.42,32,1.7,31
DP1,Coastal,Devils Pulpit,16,9,100,-29.2496,153.24733,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP2,Coastal,Devils Pulpit,28,25,100,-29.25245,153.25188,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP3,Coastal,Devils Pulpit,75,13,100,-29.25251,153.25192,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP4,Coastal,Devils Pulpit,49,22,100,-29.25264,153.25212,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP5,Coastal,Devils Pulpit,34,12,100,-29.25254,153.25223,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP6,Coastal,Devils Pulpit,28,18,100,-29.25265,153.25227,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DP7,Coastal,Devils Pulpit,18,13,100,-29.25282,153.25261,1323,19.07,44.8,4.97,11.42,0.74,124,5.7,15
DY1,Coastal,Branch Creek,28,6,100,-28.98722,152.99658,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY2,Coastal,Branch Creek,54,14,100,-28.9875,152.99672,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY3,Coastal,Branch Creek,73,4,100,-28.98761,152.99689,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY4,Coastal,Branch Creek,46,0,100,-28.98738,153.00625,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY5,Coastal,Branch Creek,12,2,100,-28.98737,153.00645,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY6,Coastal,Branch Creek,15,0,100,-28.98737,153.00652,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
DY7,Coastal,Branch Creek,17,6,100,-28.98736,153.00665,1019,19.27,35.3,5.36,2.25,0.21,158,1.6,14
