OTU_ID,abundance,phylum,class,order,family,genus,species,evalue,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage,similarity
abdcafc637a340ea76c4b870d178f7594805163e,16179,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp,2.02e-73,100,arbuscular_mycorrhizal,,,92.079
af786407ea25a72e877c106fc0aba29048092267,9777,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus_sp,3.15e-84,99.08256880733946,arbuscular_mycorrhizal,,,92.13
835ed017e9458b76219d7408fcd7550de78b96cd,7716,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp,1.97e-67,100,arbuscular_mycorrhizal,,,88.889
fd5b98c8203ceb3a940af505f0359566ec171214,3315,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,1.7e-93,100,arbuscular_mycorrhizal,NA,NA,98
fc642738e2eee360753ec56354270cf5683bdd11,3176,Glomeromycota,Glomeromycota_cls_Incertae_sedis,Glomeromycota_ord_Incertae_sedis,Glomeromycota_fam_Incertae_sedis,Glomeromycota_gen_Incertae_sedis,Glomeromycota_sp,3.88e-57,100,arbuscular_mycorrhizal,NA,NA,85.859
2742f48aa0ce05d3911448e9c07f7a741b97e9da,2764,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia_sp,1.02e-76,100,arbuscular_mycorrhizal,,,95.58
a14487a1d09933b147eb574a921b34b37d0b5fae,2518,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,1.08e-102,100,arbuscular_mycorrhizal,,,99.057
b7664f150f2b5170d1d88d3651b64f5a6876b7dc,1766,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomeraceae_sp,2.45e-98,100,arbuscular_mycorrhizal,NA,NA,96.313
92abe6bfbf4b7c5be5f2f87fc9ab227f19c2d982,1750,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Glomeraceae_sp,2.3e-72,100,arbuscular_mycorrhizal,NA,NA,92.935
425c7ba80e82ba44ca5817191ecc5384c182cb62,1409,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Glomeraceae_sp,7.99e-85,100,arbuscular_mycorrhizal,NA,NA,95.876
709fc8be667846ff5db1ff7138ce850e9a363f40,1394,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia_sp,1.26e-75,100,arbuscular_mycorrhizal,,,94.536
4e2fb006895fc4cc3927b1a30d55330abecaa23e,1304,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,2.15e-85,98.93048128342245,arbuscular_mycorrhizal,,,97.838
06cf31b2a35d0e226202c32183569760de714818,1292,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomeraceae_sp,6.43e-93,98.61751152073732,arbuscular_mycorrhizal,NA,NA,95.327
08122ec8192500939a6d7c9f63e059a65c7bbf60,1213,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Glomeraceae_sp,4.89e-88,100,arbuscular_mycorrhizal,NA,NA,93.897
91719ddb15bcd948f97224e89a8e1f0ef4a2a5df,1206,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Oehlia,Oehlia_sp,5.76e-55,100,arbuscular_mycorrhizal,,,86.528
7ac860685cb681720d41580cfd342b78f42e9086,1094,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,3.3e-83,100,arbuscular_mycorrhizal,,,96.296
5c93916d9ca877a0234a21eda2a761172b7ab513,1081,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,3.22e-90,96.74418604651163,arbuscular_mycorrhizal,NA,NA,95.192
144527ea408971bf7e22c4e4a47d883375ce14a7,1054,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,1.41e-88,100,arbuscular_mycorrhizal,,,95.327
1f77533de03a8e235a07bad46923f582d78aa99d,900,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,Rhizoglomus_sp,1.87e-99,100,arbuscular_mycorrhizal,,,99.029
a5d80425158b9a1e44c52d3d73600ed3d87fe70b,858,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,1.6e-74,100,arbuscular_mycorrhizal,,,93.651
36a51c0774f89db44aaba1360e691f52454a40b9,803,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,1.5e-87,100,arbuscular_mycorrhizal,,,97.884
b64328e2eeb7f32582feac638f074f3eda035d82,787,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Glomeraceae_sp,5.28e-74,100,arbuscular_mycorrhizal,NA,NA,95.028
4c61161b07e689e4ec408e382f1d222c9bf9da58,783,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,4.67e-75,100,arbuscular_mycorrhizal,,,92.784
5f0be6b78723c59cbc7c1ca81b2f5aa2fddb0085,778,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Oehlia,Oehlia_sp,1.38e-56,100,arbuscular_mycorrhizal,,,85.075
fce6e8b50a094e24a893182495b231cec125633c,762,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus_sp,1.65e-100,100,arbuscular_mycorrhizal,,,97.248
