OTU_ID,genus,taxa_consensus,abundance,phylum,class,order,family,species,evalue,similarity,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
00064316c5c1791d5916f65337594a5daa0202a5,Fusarium,100,186,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_sp|SH1060460.09FU,1.14e-69,98.684,100,plant_pathogen,,
000bbaef2a6e252d64a9f8b8d360ff64fd2b5657,Knufia,100,1651,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia_sp|SH1070744.09FU,3.04e-77,100,100,soil_saprotroph,,
006943e09e8dce4b3fa362181bda76e954f33df1,Pseudopithomyces,100,2967,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces_palmicola|SH1291810.09FU,6.37e-73,100,100,plant_pathogen,,
008b4cef8913f10abfe32ab2c55d09076424b082,Venturia,100,131,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia_sp|SH0969178.09FU,5.24e-74,100,100,plant_pathogen,,
009e85b8367961b0e67eeb6ac911cabd1994dcbc,Meliniomyces,100,6510,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces_sp|SH1241363.09FU,7.75e-59,95.172,100,root_endophyte,short-distance_delicate,/meliniomyces
00aaa631e427007f287308840a0d8fcb8f84f059,Phaeosphaeriopsis,100,3918,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis_sp|SH0994151.09FU,3.16e-70,100,100,plant_pathogen,,
00c1e8c4a684abaf00793a901f273116808c4900,Capronia,100,238,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia_sp|SH0911156.09FU,2.93e-71,96.97,100,soil_saprotroph,,
00c7aabc1bb477a9b9f48b093247df73f9a5f55c,Oidiodendron,100,234,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron_sp|SH0974153.09FU,9.74e-64,98.582,100,soil_saprotroph,,
01128603cbde0996419c47921ed5c23272c77dc5,Lactarius,100,103,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius_sp|SH1150322.09FU,1.6e-134,99.632,100,ectomycorrhizal,medium-distance_smooth,/russula-lactarius
016406017124be0e9bb82f9247eb9f39011a3a46,Lactarius,100,196,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius_sp|SH1209440.09FU,1.44e-128,98.868,100,ectomycorrhizal,medium-distance_smooth,/russula-lactarius
0170035b2dbe9c16a9222425a67f001cbd870b04,Leohumicola,100,4475,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola_sp|SH1078813.09FU,1.02e-63,97.26,100,soil_saprotroph,,
01b62c98f55b8b38843292941739cc28e852b1b4,Hypomyces,100,325,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces_sp|SH1090128.09FU,2.03e-86,100,100,mycoparasite,,
02846bff6bdcba5c969b25915836b0087d3a1f24,Phyllosticta,100,149,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta_sp|SH1058924.09FU,8.22e-59,93.421,99.34640522875817,plant_pathogen,,
028f874920895e86abb36fff64ec52ce1c8947ab,Helicoma,100,1289,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicoma_sp|SH1306066.09FU,2.28e-72,98.742,100,wood_saprotroph,,
039dca03dca2b56b8640449d24d44550074898ee,Clathrus,100,84956,Basidiomycota,Agaricomycetes,Phallales,Clathraceae,Clathrus_sp|SH0947177.09FU,1.93e-93,100,100,soil_saprotroph,,
03ef26b8776db0caf5f893881689930663b43c9b,Calonectria,100,154,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria_sp|SH0972861.09FU,8.76e-78,100,100,plant_pathogen,,
